Field=#~Integer~#~50|Field=Comment~String~Comment~101|Field=Description~String~Description~101|Field=Designator~String~Designator~101|Field=Footprint~String~Footprint~101|Field=LibRef~String~LibRef~101|Field=Quantity~Integer~Quantity~101|Field=Pricing 1~String~Pricing 1~101|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~BMS.PrjPcb|ReportField=ProjectFullPath~C:\Users\Jarod\Desktop\Phantom\BMS\BMS.PrjPcb|ReportField=Title~Bill of Materials For Project [BMS.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~220|ReportField=ReportTime~5:45:17 PM|ReportField=ReportDate~2018-11-10|ReportField=ReportDateTime~2018-11-10 5:45:17 PM|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=CurrentDate~2018-11-09|ReportField=CurrentTime~2:47:39 PM|ReportField=Date~|ReportField=DocumentFullPathAndName~C:\Users\Jarod\Desktop\Phantom\BMS\BMS.SchDoc|ReportField=DocumentName~BMS.SchDoc|ReportField=DocumentNumber~|ReportField=DrawnBy~Jarod Krane|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~2018-10-29|ReportField=Organization~|ReportField=ProjectName~BMS.PrjPcb|ReportField=Revision~|ReportField=Rule~|ReportField=SheetNumber~1|ReportField=SheetTotal~7|ReportField=Time~|ReportField=Title~BMS - AFE|ReportField=DataSourceFileName~BMS.PrjPcb|ReportField=DataSourceFullPath~C:\Users\Jarod\Desktop\Phantom\BMS\BMS.PrjPcb|ReportField=PCBConfigurationName~Sources|ReportField=Item~|ReportField=ItemRevision~|ReportField=ItemAndRevision~|ReportField=ItemRevisionBase~|ReportField=ItemRevisionLevel1~|ReportField=ItemRevisionLevel2~|ReportField=ItemRevisionLevel1AndBase~|ReportField=ItemRevisionLevel2AndLevel1~
11|5.1V|DIODE ZENER 5.1V 500MW SOD123|D1_1, D1_2, D1_3, D1_4, D1_5, D1_6, D1_7, D1_8, D1_9, D1_10, D1_11, D1_12, D1_13, D1_14, D1_15, D1_16|ZENER DIODE|MMSZ4689-TP|16|1=0.22, 10=0.203, 25=0.146, 100=0.1136, 250=0.0714, 500=0.0608, 1000=0.0414 (USD)
12|100V|DIODE GEN PURP 100V 300MA SOD123|D2, D3, D4, D5|DIODE BtoB|1N4148W-7-F|4|1=0.18, 10=0.164, 100=0.0891, 500=0.0548, 1000=0.0374 (USD)
13|5V|TVS DIODE 5V SOD323|D6, D7, D8, D9, D10, D11, D12, D13|TVS DIODE|PESD5V0U1UA,115|8|1=0.49, 10=0.373, 100=0.2377, 500=0.1669, 1000=0.1315 (USD)
14|S6B-PH-K-S(LF)(SN)|CONN HEADER PH SIDE 6POS 2MM|J1|SERIAL HDR|S6B-PH-K-S(LF)(SN)|1|1=0.3, 10=0.285, 100=0.1993, 500=0.1708, 1000=0.1424, 5000=0.122, 10000=0.1139 (USD)
15|43025-1600|CONN RECEPT 16POS 3MM DUAL ROW|J2|THERMO HDR|43025-1600|1|1=0.96, 10=0.843, 25=0.7928, 50=0.76, 100=0.7269, 250=0.6608, 500=0.5947, 1000=0.5286, 2500=0.4791 (USD)
16|DF3A-4P-2DS|CONN HEADER 4POS 2MM R/A TIN|J3, J5|COMM HDR|DF3A-4P-2DS|2|1=0.19, 10=0.184, 100=0.1273, 500=0.1077, 1000=0.0881, 5000=0.0784, 10000=0.071 (EUR)
17|DF1BZ-20P-2.5DS|CONN HEADER 20POS 2.5MM R/A TIN|J4|CELL HDR|DF1BZ-20P-2.5DS|1|1=0.87, 10=0.765, 100=0.66, 500=0.54, 1000=0.48 (USD)
18|GREEN|LED YLW/GRN CLEAR 1206 SMD R/A|LED1_1, LED1_2, LED1_3, LED1_4, LED1_5, LED1_6, LED1_7, LED1_8, LED1_9, LED1_10, LED1_11, LED1_12, LED1_13, LED1_14, LED1_15, LED1_16|LED|IN-S126ASYG|16|1=0.46, 10=0.33, 25=0.2528, 100=0.1648, 250=0.1209, 500=0.1026, 1000=0.0843 (USD)
19|2N7002KT1G|MOSFET N-CH 60V 320MA SOT-23|Q1_1, Q1_2, Q1_3, Q1_4, Q1_5, Q1_6, Q1_7, Q1_8, Q1_9, Q1_10, Q1_11, Q1_12, Q1_13, Q1_14, Q1_15, Q1_16|N-MOSFET|2N7002KT1G|16|1=0.21, 10=0.193, 100=0.1264, 500=0.0618, 1000=0.0421 (USD)
20|ZXTN4004KTC|TRANS NPN 150V 1A TO252|Q2|NPN TRANSISTOR|ZXTN4004KTC|1|1=0.49, 10=0.42, 100=0.3134, 500=0.2463, 1000=0.1903 (USD)
